NIVEL;MADERA;PIEDRA;HIERRO;ORO;CARBÓN
1;1250;1250;1000;250;375
2;3125;3000;2375;500;750
3;5375;5125;4000;750;1375
4;6000;5750;4500;875;1500
5;6750;6500;5000;1000;1625
6;7500;7250;5625;1125;1875
7;8375;8125;6250;1250;2125
8;9375;9000;7000;1375;2375
9;10625;10125;7875;1625;2625
10;11875;11375;8750;1750;2875
11;13250;12750;9875;2000;3250
12;14875;14250;11000;2250;3625
13;16625;16000;12375;2500;4125
14;18625;17875;13875;2750;4625
15;20875;20000;15500;3125;5125
16;23375;22375;17375;3500;5750
17;26125;25125;19375;3875;6500
18;29250;28125;21750;4375;7250
19;32750;31500;24375;4875;8125
20;36750;35250;27250;5500;9125
21;41125;39500;30500;6125;10125
22;46125;44250;34250;6875;11375
23;51625;49625;38375;7625;12750
24;57875;55500;42875;8625;14250
25;64750;62250;48125;9625;16000
26;72500;69625;53875;10750;18000
27;81250;78000;60375;12125;20125
28;91000;87375;67500;13500;22500
29;101875;97875;75625;15125;25250
30;114125;109625;84750;17000;28250
31;127875;122750;94875;19000;31625
32;143,125;137500;106250;21250;35375
33;160,375;154000;119125;23875;39750
34;179,625;172500;133375;26625;44500
35;201,125;193,125;149375;29875;49750
36;225250;216,375;167250;33500;55750
37;252250;242250;187375;37500;62500
38;282,625;271,375;209875;42000;70000
39;316500;304000;235000;47000;78375
40;3,545,000;3,403,750;2632500;5262600;877500
