Invocación;HP;PA;CA;DESTREZA;SIGILO;VELOCIDAD;NIVEL_MIN_SACERDOTE;TIEMPO_INVOCACION_BASE_SEGUNDOS_POR_UNIDAD;COSTO_MANÁ_POR_UNIDAD;cantidad_min
Demonio;2242;426;60;250;1;3000;7;9000;8000000;5000
Ánima;5614;637;119;300;1;5000;10;12000;12000000;7500
Espectro;6175;2248;408;350;1;9000;13;48000;15000000;12000
Gólem;6484;5608;1448;400;1;12000;18;96000;20000000;18000
Centauro;8105;10408;2408;450;1;15000;24;144000;250000000;20000
Kraken;10132;2761;23469;500;1;25000;28;288000;3000000000;25000
Alonardo;21276;57981;49284;550;1;33333;30;720000;40000000000;35000
Madreselva;4468;12176;103496;600;1;40000;33;1000000;600000000000;45000
Coloso;183188;499216;424334;650;1;45000;35;1150000;1200000000000;125000
Fénix;18501980;50420860;42857730;700;1;100000;36;1440000;18000000000000;250000
Dragón de Oro;926949260;252608496;214717221;750;1;100000;37;1728000;250000000000000;350000
Caballero de Luz;464000000000;12655685631;10757332786;900;1;500000;38;2160000;3000000000000000;1000000
AlalaiA;6,3E+021;5,,0167E+023;4,5E+021;999;1;10000000;39;2880000;4,5E+023;2000000
Eón Supremo;6E+018;5,26E+018;4,4E+018;999;1;1000000;40;57600000;1E+025;150000000
KarlakÁ;5E+017;4,5E+018;5E+018;1000;1;1000000;No;No;No;
