Unidad;Nivel_Base;HP;PA;CA;CARGA DE MATERIALES;Destreza;Velocidad;Sigilo;Madera;Piedra;Hierro;Carbón;Oro
Aldeano;1;50;15;10;1;1;10;1;0;0;0;0;0
Aldeano;2;50;15;10;1;1;11;1;0;0;0;0;0
Aldeano;3;50;15;10;1;1;12;1;0;0;0;0;0
Aldeano;4;50;15;10;1;1;13;1;0;0;0;0;0
Aldeano;5;55;16;11;2;2;14;1;0;0;0;0;0
Aldeano;6;55;16;11;2;2;15;1;0;0;0;0;0
Aldeano;7;55;16;11;2;2;16;1;0;0;0;0;0
Aldeano;8;55;16;11;2;2;17;1;0;0;0;0;0
Aldeano;9;58;16;11;4;2;18;1;0;0;0;0;0
Aldeano;10;61;17;12;4;3;19;1;0;0;0;0;0
Aldeano;11;61;17;12;4;3;20;1;0;0;0;0;0
Aldeano;12;61;17;12;4;3;21;1;0;0;0;0;0
Aldeano;13;61;17;12;4;3;22;1;0;0;0;0;0
Aldeano;14;61;17;12;4;3;23;1;0;0;0;0;0
Aldeano;15;68;18;13;8;4;24;1;0;0;0;0;0
Aldeano;16;68;18;13;8;4;25;1;0;0;0;0;0
Aldeano;17;68;18;13;8;4;26;1;0;0;0;0;0
Aldeano;18;68;18;13;8;4;27;1;0;0;0;0;0
Aldeano;19;68;18;13;8;4;28;1;0;0;0;0;0
Aldeano;20;75;19;14;16;5;29;1;0;0;0;0;0
Aldeano;21;75;19;14;16;5;30;1;0;0;0;0;0
Aldeano;22;75;19;14;16;5;31;1;0;0;0;0;0
Aldeano;23;75;19;14;16;5;32;1;0;0;0;0;0
Aldeano;24;75;19;14;16;5;33;1;0;0;0;0;0
Aldeano;25;83;20;15;32;6;34;1;0;0;0;0;0
Aldeano;26;83;20;15;32;6;35;1;0;0;0;0;0
Aldeano;27;83;20;15;32;6;36;1;0;0;0;0;0
Aldeano;28;83;20;15;32;6;37;1;0;0;0;0;0
Aldeano;29;83;20;15;32;6;38;1;0;0;0;0;0
Aldeano;30;92;21;16;64;7;39;1;0;0;0;0;0
Aldeano;31;92;21;16;64;7;40;1;0;0;0;0;0
Aldeano;32;92;21;16;64;7;41;1;0;0;0;0;0
Aldeano;33;92;21;16;64;7;42;1;0;0;0;0;0
Aldeano;34;92;21;16;64;7;43;1;0;0;0;0;0
Aldeano;35;102;22;17;128;8;44;1;0;0;0;0;0
Aldeano;36;102;22;17;128;8;45;1;0;0;0;0;0
Aldeano;37;102;22;17;128;8;46;1;0;0;0;0;0
Aldeano;38;102;22;17;128;8;47;1;0;0;0;0;0
Aldeano;39;102;22;17;128;8;48;1;0;0;0;0;0
Aldeano;40;113000;440000;180000;256;150;249;1;0;0;0;0;0
Explorador;1;70;22;10;500;10;18;8;10000;10000;10000;10000;10000
Explorador;2;70;22;10;500;10;19;10;10000;10000;10000;10000;10000
Explorador;3;70;22;10;500;10;20;11;10000;10000;10000;10000;10000
Explorador;4;70;22;10;500;10;21;12;10000;10000;10000;10000;10000
