Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;Rebaja en el Tiempo de Invocación;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;1%;0
2;200000;300000;500000;600000;1100000;2%;0
3;300000;450000;750000;900000;1650000;3%;200
4;400000;600000;1000000;1200000;2200000;4%;300
5;500000;750000;1250000;1500000;2750000;5%;400
6;600000;900000;1500000;1800000;3300000;6%;500
7;700000;1050000;1750000;2100000;3850000;7%;600
8;800000;1200000;2000000;2400000;4400000;8%;1500
9;900000;1350000;2250000;2700000;4950000;9%;3000
10;1000000;1500000;2500000;3000000;1,953125E+020;10%;4500
11;1100000;1650000;2750000;3300000;1,953125E+020;11%;6000
12;1200000;1800000;3000000;3600000;1,953125E+020;12%;9000
13;1300000;1950000;3250000;3900000;1,953125E+020;13%;12000
14;1400000;2100000;3500000;4200000;1,953125E+020;14%;15000
15;1500000;2250000;3750000;4500000;1,953125E+020;15%;21000
16;1600000;2400000;4000000;4800000;1,953125E+020;16%;24000
17;1700000;2550000;4250000;5100000;1,953125E+020;17%;36000
18;1800000;2700000;4500000;5400000;1,953125E+020;18%;72000
19;1900000;2850000;4750000;5700000;1,953125E+020;19%;80000
20;2000000;3000000;5000000;6000000;1,953125E+020;20%;84000
21;2100000;3150000;5250000;6300000;1,953125E+020;21%;90000
22;2200000;3300000;5500000;6600000;1,953125E+020;22%;250000
23;2300000;3450000;5750000;6900000;1,953125E+020;23%;750000
24;2400000;3600000;6000000;7200000;1,953125E+020;24%;1250000
25;2500000;3750000;6250000;7500000;1,953125E+020;25%;1750000
26;2600000;3900000;6500000;7800000;1,953125E+020;26%;2250000
27;2700000;4050000;6750000;8100000;1,953125E+020;27%;2750000
28;2800000;4200000;7000000;8400000;1,953125E+020;28%;3250000
29;2900000;4350000;7250000;8700000;1,953125E+020;29%;3750000
30;3000000;4500000;7500000;9000000;1,953125E+020;30%;4250000
31;3100000;4650000;7750000;9300000;1,953125E+020;31%;4750000
32;3200000;4800000;8000000;9600000;1,953125E+020;32%;5250000
33;3300000;4950000;8250000;9900000;1,953125E+020;33%;5750000
34;3400000;5100000;8500000;10200000;1,953125E+020;34%;6250000
35;3500000;5250000;8750000;10500000;1,953125E+020;35%;6750000
36;3600000;5400000;9000000;10800000;1,953125E+020;36%;7250000
37;3700000;5550000;9250000;11100000;1,953125E+020;37%;7750000
38;3800000;5700000;9500000;11400000;1,953125E+020;38%;8250000
39;3900000;5850000;9750000;11700000;1,953125E+020;39%;8750000
40;4000000;6000000;10000000;12000000;1,953125E+020;40%;9250000
41;4100000;6150000;10250000;12300000;1,953125E+020;41%;9750000
42;4200000;6300000;10500000;12600000;1,953125E+020;42%;10250000
43;4300000;6450000;10750000;12900000;1,953125E+020;43%;10750000
44;4400000;6600000;11000000;13200000;1,953125E+020;44%;11250000
45;4500000;6750000;11250000;13500000;1,953125E+020;45%;11750000
46;4600000;6900000;11500000;13800000;1,953125E+020;46%;12250000
47;4700000;7050000;11750000;14100000;1,953125E+020;47%;12750000
48;4800000;7200000;12000000;14400000;1,953125E+020;48%;13250000
49;4900000;7350000;12250000;14700000;1,953125E+020;49%;13750000
50;5000000000;12500000000;31250000000;78125000000;1,953125E+020;50%;14250000
