Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;Aldeanos por hora;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;1200;0
2;200000;300000;500000;600000;1100000;1250;0
3;300000;450000;750000;900000;1650000;1277;200
4;400000;600000;1000000;1200000;2200000;1305;300
5;500000;750000;1250000;1500000;2750000;1334;400
6;600000;900000;1500000;1800000;3300000;1364;500
7;700000;1050000;1750000;2100000;3850000;1396;600
8;800000;1200000;2000000;2400000;4400000;1429;1500
9;900000;1350000;2250000;2700000;4950000;1464;3000
10;1000000;1500000;2500000;3000000;5500000;1500;4500
11;1100000;1650000;2750000;3300000;6050000;1539;6000
12;1200000;1800000;3000000;3600000;6600000;1579;9000
13;1300000;1950000;3250000;3900000;7150000;1622;12000
14;1400000;2100000;3500000;4200000;7700000;1667;15000
15;1500000;2250000;3750000;4500000;8250000;1715;21000
16;1600000;2400000;4000000;4800000;8800000;1765;24000
17;1700000;2550000;4250000;5100000;9350000;1819;36000
18;1800000;2700000;4500000;5400000;9900000;1875;72000
19;1900000;2850000;4750000;5700000;10450000;1936;80000
20;2000000;3000000;5000000;6000000;11000000;2000;84000
21;2100000;3150000;5250000;6300000;11550000;2069;90000
22;2200000;3300000;5500000;6600000;12100000;2143;100000
23;2300000;3450000;5750000;6900000;12650000;2223;110000
24;2400000;3600000;6000000;7200000;13200000;2308;120000
25;2500000;3750000;6250000;7500000;13750000;2400;150000
26;2600000;3900000;6500000;7800000;14300000;2500;170000
27;2700000;4050000;6750000;8100000;14850000;2609;200000
28;2800000;4200000;7000000;8400000;15400000;2728;250000
29;2900000;4350000;7250000;8700000;15950000;2858;300000
30;3000000;4500000;7500000;9000000;16500000;3000;350000
31;3100000;4650000;7750000;9300000;17050000;3158;400000
32;3200000;4800000;8000000;9600000;17600000;3334;450000
33;3300000;4950000;8250000;9900000;18150000;3530;460000
34;3400000;5100000;8500000;10200000;18700000;3750;470000
35;3500000;5250000;8750000;10500000;19250000;4000;480000
36;3600000;5400000;9000000;10800000;19800000;4286;490000
37;3700000;5550000;9250000;11100000;20350000;4616;500000
38;3800000;5700000;9500000;11400000;20900000;5000;510000
39;3900000;5850000;9750000;11700000;21450000;5455;5200000
40;4000000;6000000;10000000;12000000;22000000;6000;5800000
41;4100000;6150000;10250000;12300000;22550000;6667;6000000
42;4200000;6300000;10500000;12600000;23100000;7500;65000000
43;4300000;6450000;10750000;12900000;23650000;8572;70000000
44;4400000;6600000;11000000;13200000;24200000;10000;75000000
45;45000000;67500000;112500000;135000000;247500000;1250000;80000000
