Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;hp;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;14800;0
2;200000;300000;500000;600000;1100000;42269;0
3;300000;450000;750000;900000;1650000;73171;200
4;400000;600000;1000000;1200000;2200000;110822;300
5;500000;750000;1250000;1500000;2750000;155400;400
6;600000;900000;1500000;1800000;3300000;207082;500
7;700000;1050000;1750000;2100000;3850000;266045;600
8;800000;1200000;2000000;2400000;4400000;332467;1500
9;900000;1350000;2250000;2700000;4950000;406526;3000
10;1000000;1500000;2500000;3000000;5500000;488400;4500
11;1100000;1650000;2750000;3300000;6050000;578266;6000
12;1200000;1800000;3000000;3600000;6600000;676301;9000
13;1300000;1950000;3250000;3900000;7150000;782683;12000
14;1400000;2100000;3500000;4200000;7700000;897590;15000
15;1500000;2250000;3750000;4500000;8250000;1021200;21000
16;1600000;2400000;4000000;4800000;8800000;1153690;24000
17;1700000;2550000;4250000;5100000;9350000;1295237;36000
18;1800000;2700000;4500000;5400000;9900000;1446019;72000
19;1900000;2850000;4750000;5700000;10450000;1606214;80000
20;2000000;3000000;5000000;6000000;11000000;1776000;84000
21;2100000;3150000;5250000;6300000;11550000;1955554;90000
22;2200000;3300000;5500000;6600000;12100000;2145053;100000
23;2300000;3450000;5750000;6900000;12650000;2344675;110000
24;2400000;3600000;6000000;7200000;13200000;2554598;120000
25;2500000;3750000;6250000;7500000;13750000;2775000;150000
26;2600000;3900000;6500000;7800000;14300000;3006058;170000
27;2700000;4050000;6750000;8100000;14850000;3247949;200000
28;2800000;4200000;7000000;8400000;15400000;3500851;250000
29;2900000;4350000;7250000;8700000;15950000;3764942;300000
30;3000000;4500000;7500000;9000000;16500000;4040400;350000
31;3100000;4650000;7750000;9300000;17050000;4327402;400000
32;3200000;4800000;8000000;9600000;17600000;4626125;450000
33;3300000;4950000;8250000;9900000;18150000;4936747;460000
34;3400000;5100000;8500000;10200000;18700000;5259446;470000
35;3500000;5250000;8750000;10500000;19250000;5594400;480000
36;3600000;5400000;9000000;10800000;19800000;5941786;490000
37;3700000;5550000;9250000;11100000;20350000;6301781;500000
38;3800000;5700000;9500000;11400000;20900000;6674563;510000
39;3900000;5850000;9750000;11700000;21450000;7060310;520000
40;4000000;6000000;10000000;12000000;22000000;7459200;580000
41;4100000;6150000;10250000;12300000;22550000;7871410;600000
42;4200000;6300000;10500000;12600000;23100000;8297117;650000
43;4300000;6450000;10750000;12900000;23650000;8736499;700000
44;4400000;6600000;11000000;13200000;24200000;9189734;750000
45;4500000;6750000;11250000;13500000;24750000;9657000;8000000
46;4600000;6900000;11500000;13800000;25300000;10138474;12000000
47;4700000;7050000;11750000;14100000;25850000;10634333;16000000
48;4800000;7200000;12000000;14400000;26400000;11144755;20000000
49;4900000;7350000;12250000;14700000;26950000;583495920;24000000
50;5000000000;12500000000;31250000000;78125000000;195312500000;1221000000000;28000000
