Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;deteccion;sigiloexploradormismonivel;"Tiempos para pasar de Nivel
(minutos)";radiocasillasvigilancia
1;100000;150000;250000;300000;550000;6;8;0;2
2;200000;300000;500000;600000;1100000;8;10;0;2
3;300000;450000;750000;900000;1650000;9;11;200;2
4;400000;600000;1000000;1200000;2200000;10;12;300;4
5;500000;750000;1250000;1500000;2750000;11;13;400;6
6;600000;900000;1500000;1800000;3300000;12;14;500;8
7;700000;1050000;1750000;2100000;3850000;13;15;600;11
8;800000;1200000;2000000;2400000;4400000;14;16;1500;15
9;900000;1350000;2250000;2700000;4950000;15;17;3000;20
10;1000000;1500000;2500000;3000000;5500000;16;18;4500;25
11;1100000;1650000;2750000;3300000;6050000;17;19;6000;32
12;1200000;1800000;3000000;3600000;6600000;18;20;9000;39
13;1300000;1950000;3250000;3900000;7150000;19;21;12000;47
14;1400000;2100000;3500000;4200000;7700000;20;22;15000;55
15;1500000;2250000;3750000;4500000;8250000;21;23;21000;65
16;1600000;2400000;4000000;4800000;8800000;22;24;24000;75
17;1700000;2550000;4250000;5100000;9350000;23;25;36000;86
18;1800000;2700000;4500000;5400000;9900000;24;26;72000;99
19;1900000;2850000;4750000;5700000;10450000;25;27;80000;112
20;2000000;3000000;5000000;6000000;11000000;26;28;84000;126
21;2100000;3150000;5250000;6300000;11550000;27;29;90000;140
22;2200000;3300000;5500000;6600000;12100000;28;30;100000;156
23;2300000;3450000;5750000;6900000;12650000;29;31;110000;173
24;2400000;3600000;6000000;7200000;13200000;30;32;120000;190
25;2500000;3750000;6250000;7500000;13750000;31;33;150000;209
26;2600000;3900000;6500000;7800000;14300000;32;34;170000;228
27;2700000;4050000;6750000;8100000;14850000;33;35;200000;249
28;2800000;4200000;7000000;8400000;15400000;34;36;250000;270
29;2900000;4350000;7250000;8700000;15950000;35;37;300000;293
30;3000000;4500000;7500000;9000000;16500000;36;38;350000;316
31;3100000;4650000;7750000;9300000;17050000;37;39;400000;340
32;3200000;4800000;8000000;9600000;17600000;38;40;450000;366
33;3300000;4950000;8250000;9900000;18150000;39;41;460000;392
34;3400000;5100000;8500000;10200000;18700000;40;42;470000;419
35;3500000;5250000;8750000;10500000;19250000;41;43;480000;448
36;3600000;5400000;9000000;10800000;19800000;42;44;490000;477
37;3700000;5550000;9250000;11100000;20350000;43;45;500000;507
38;3800000;5700000;9500000;11400000;20900000;44;46;510000;539
39;3900000;5850000;9750000;11700000;21450000;45;47;520000;571
40;4000000;6000000;10000000;12000000;22000000;46;48;580000;605
41;4100000;6150000;10250000;12300000;22550000;47;49;600000;639
42;4200000;6300000;10500000;12600000;23100000;48;50;650000;675
43;4300000;6450000;10750000;12900000;23650000;49;51;700000;712
44;4400000;6600000;11000000;13200000;24200000;50;52;750000;749
45;4500000;6750000;11250000;13500000;24750000;51;53;8000000;788
46;4600000;6900000;11500000;13800000;25300000;52;54;12000000;828
47;4700000;7050000;11750000;14100000;25850000;53;55;16000000;869
48;4800000;7200000;12000000;14400000;26400000;54;56;20000000;911
49;4900000;7350000;12250000;14700000;26950000;55;57;24000000;954
50;5000000000;12500000000;31250000000;78125000000;195312500000;101;58;28000000;2000
