Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;cuadrosdealcance;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;50;0
2;200000;300000;500000;600000;1100000;100;0
3;300000;450000;750000;900000;1650000;150;200
4;400000;600000;1000000;1200000;2200000;200;300
5;500000;750000;1250000;1500000;2750000;250;400
6;600000;900000;1500000;1800000;3300000;300;500
7;700000;1050000;1750000;2100000;3850000;350;600
8;800000;1200000;2000000;2400000;4400000;400;1500
9;900000;1350000;2250000;2700000;4950000;450;3000
10;1000000;1500000;2500000;3000000;5500000;500;4500
11;1100000;1650000;2750000;3300000;6050000;550;6000
12;1200000;1800000;3000000;3600000;6600000;600;9000
13;1300000;1950000;3250000;3900000;7150000;650;12000
14;1400000;2100000;3500000;4200000;7700000;700;15000
15;1500000;2250000;3750000;4500000;8250000;750;21000
16;1600000;2400000;4000000;4800000;8800000;800;24000
17;1700000;2550000;4250000;5100000;9350000;850;36000
18;1800000;2700000;4500000;5400000;9900000;900;72000
19;1900000;2850000;4750000;5700000;10450000;950;80000
20;2000000;3000000;5000000;6000000;11000000;1000;84000
21;2100000;3150000;5250000;6300000;11550000;1050;90000
22;2200000;3300000;5500000;6600000;12100000;1100;100000
23;2300000;3450000;5750000;6900000;12650000;1150;110000
24;2400000;3600000;6000000;7200000;13200000;1200;120000
25;2500000;3750000;6250000;7500000;13750000;1250;150000
26;2600000;3900000;6500000;7800000;14300000;1300;170000
27;2700000;4050000;6750000;8100000;14850000;1350;200000
28;2800000;4200000;7000000;8400000;15400000;1400;250000
29;2900000;4350000;7250000;8700000;15950000;1450;300000
30;3000000;4500000;7500000;9000000;16500000;1500;350000
31;3100000;4650000;7750000;9300000;17050000;1550;400000
32;3200000;4800000;8000000;9600000;17600000;1600;45000000
33;3300000;4950000;8250000;9900000;18150000;1650;46000000
34;3400000;5100000;8500000;10200000;18700000;1700;47000000
35;3500000;5250000;8750000;10500000;19250000;1750;48000000
36;3600000;5400000;9000000;10800000;19800000;1800;49000000
37;3700000;5550000;9250000;11100000;20350000;1850;50000000
38;3800000;5700000;9500000;11400000;20900000;1900;51000000
39;3900000;5850000;9750000;11700000;21450000;1950;52000000
40;4000000;6000000;10000000;12000000;22000000;2000;58000000
