Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;CAPACIDAD DE MANÁ;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;2,400,000;0
2;200000;300000;500000;600000;1100000;3,540,000;0
3;300000;450000;750000;900000;1650000;5,652,000;200
4;400000;600000;1000000;1200000;2200000;8,760,000;300
5;500000;750000;1250000;1500000;2750000;12,840,000;400
6;600000;900000;1500000;1800000;3300000;17,904,000;500
7;700000;1050000;1750000;2100000;3850000;23,952,000;600
8;800000;1200000;2000000;2400000;4400000;30,984,000;1500
9;900000;1350000;2250000;2700000;4950000;39,000,000;3000
10;1000000;1500000;2500000;3000000;5500000;48,000,000;4500
11;1100000;1650000;2750000;3300000;6050000;57,984,000;6000
12;1200000;1800000;3000000;3600000;6600000;68,940,000;9000
13;1300000;1950000;3250000;3900000;7150000;80,880,000;12000
14;1400000;2100000;3500000;4200000;7700000;93,816,000;15000
15;1500000;2250000;3750000;4500000;8250000;107,724,000;21000
16;1600000;2400000;4000000;4800000;8800000;122,616,000;24000
17;1700000;2550000;4250000;5100000;9350000;138,480,000;36000
18;1800000;2700000;4500000;5400000;9900000;155,340,000;72000
19;1900000;2850000;4750000;5700000;10450000;173,184,000;80000
20;2000000;3000000;5000000;6000000;11000000;192,000,000;84000
21;2100000;3150000;5250000;6300000;11550000;211,800,000;90000
22;2200000;3300000;5500000;6600000;12100000;232,584,000;100000
23;2300000;3450000;5750000;6900000;12650000;254,352,000;110000
24;2400000;3600000;6000000;7200000;13200000;277,104,000;120000
25;2500000;3750000;6250000;7500000;13750000;300,840,000;150000
26;2600000;3900000;6500000;7800000;14300000;325,560,000;170000
27;2700000;4050000;6750000;8100000;14850000;351,252,000;200000
28;2800000;4200000;7000000;8400000;15400000;377,940,000;250000
29;2900000;4350000;7250000;8700000;15950000;405,600,000;300000
30;3000000;4500000;7500000;9000000;16500000;434,244,000;350000
31;3100000;4650000;7750000;9300000;17050000;463,872,000;400000
32;3200000;4800000;8000000;9600000;17600000;494,484,000;450000
33;3300000;4950000;8250000;9900000;18150000;526,080,000;460000
34;3400000;5100000;8500000;10200000;18700000;558,648,000;470000
35;3500000;5250000;8750000;10500000;19250000;592,212,000;480000
36;3600000;5400000;9000000;10800000;19800000;626,748,000;490000
37;3700000;5550000;9250000;11100000;20350000;662,268,000;500000
38;3800000;5700000;9500000;11400000;20900000;698,784,000;510000
39;3900000;5850000;9750000;11700000;21450000;736,272,000;520000
40;4000000;6000000;10000000;12000000;22000000;774,732,000;580000
41;4100000;6150000;10250000;12300000;22550000;803,382,000;600000
42;4200000;6300000;10500000;12600000;23100000;837,923,000;650000
43;4300000;6450000;10750000;12900000;23650000;872,463,000;700000
44;4400000;6600000;11000000;13200000;24200000;1,265,072,000;750000
45;4500000;6750000;11250000;13500000;24750000;1,834,354,000;8000000
46;4600000;6900000;11500000;13800000;25300000;2,659,813,000;12000000
47;4700000;7050000;11750000;14100000;25850000;3,856,729,000;16000000
48;4800000;7200000;12000000;14400000;26400000;5,592,258,000;20000000
49;4900000;7350000;12250000;14700000;26950000;8,108,773,000;24000000
50;5000000000;12500000000;31250000000;78125000000;195312500000;infinito;28000000
