Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;% REDUCCIÓN EN COLAS DE TEMPLO, CUARTEL, HERRERÍA y CENTRO DE CIUDAD ;% REDUCCIÓN EN TIEMPOS DE EDIFICIOS;"Tiempos para pasar de Nivel
(minutos)";días
1;100000;150000;250000;300000;550000;2%;6%;0;0
2;200000;300000;500000;600000;1100000;4%;8%;0;0
3;300000;450000;750000;900000;1650000;6%;10%;20;0,0138888888888889
4;400000;600000;1000000;1200000;2200000;8%;12%;30;0,0208333333333333
5;500000;750000;1250000;1500000;2750000;10%;14%;400;0,277777777777778
6;600000;900000;1500000;1800000;3300000;12%;16%;5000;3,47222222222222
7;700000;1050000;1750000;2100000;3850000;14%;18%;5500;3,81944444444444
8;800000;1200000;2000000;2400000;4400000;16%;20%;95000;65,9722222222222
9;900000;1350000;2250000;2700000;4950000;18%;22%;400000;277,777777777778
10;1000000;1500000;2500000;3000000;5500000;20%;24%;450000;312,5
11;1100000;1650000;2750000;3300000;22000000000000;22%;26%;500000;347,222222222222
12;1200000;1800000;3000000;3600000;22000000000000;24%;28%;550000;381,944444444444
13;1300000;1950000;3250000;3900000;22000000000000;26%;30%;600000;416,666666666667
14;1400000;2100000;3500000;4200000;22000000000000;28%;32%;650000;451,388888888889
15;1500000;2250000;3750000;4500000;22000000000000;30%;34%;700000;486,111111111111
16;1600000;2400000;4000000;4800000;22000000000000;32%;36%;750000;520,833333333333
17;1700000;2550000;4250000;5100000;22000000000000;34%;38%;800000;555,555555555556
18;1800000;2700000;4500000;5400000;22000000000000;36%;40%;850000;590,277777777778
19;1900000;2850000;4750000;5700000;22000000000000;38%;42%;900000;625
20;2000000;3000000;5000000;6000000;22000000000000;40%;44%;950000;659,722222222222
21;2100000;3150000;5250000;6300000;22000000000000;42%;46%;1000000;694,444444444445
22;2200000;3300000;5500000;6600000;22000000000000;44%;48%;1050000;729,166666666667
23;2300000;3450000;5750000;6900000;22000000000000;46%;50%;1100000;763,888888888889
24;2400000;3600000;6000000;7200000;22000000000000;48%;52%;1150000;798,611111111111
25;2500000;3750000;6250000;7500000;22000000000000;50%;54%;1200000;833,333333333333
26;2600000;3900000;6500000;7800000;22000000000000;52%;56%;1250000;868,055555555556
27;2700000;4050000;6750000;8100000;22000000000000;54%;58%;1300000;902,777777777778
28;2800000;4200000;7000000;8400000;22000000000000;56%;60%;1350000;937,5
29;2900000;4350000;7250000;8700000;22000000000000;58%;62%;1400000;972,222222222222
30;3000000;4500000;7500000;9000000;22000000000000;60%;64%;1450000;1006,94444444444
31;3100000;4650000;7750000;9300000;22000000000000;62%;66%;1500000;1041,66666666667
32;3200000;4800000;8000000;9600000;22000000000000;64%;68%;1550000;1076,38888888889
33;3300000;4950000;8250000;9900000;22000000000000;66%;70%;1600000;1111,11111111111
34;3400000;5100000;8500000;10200000;22000000000000;68%;72%;1650000;1145,83333333333
35;3500000;5250000;8750000;10500000;22000000000000;70%;74%;1700000;1180,55555555556
36;3600000;5400000;9000000;10800000;22000000000000;72%;76%;1750000;1215,27777777778
37;3700000;5550000;9250000;11100000;22000000000000;74%;78%;1800000;1250
38;3800000;5700000;9500000;11400000;22000000000000;76%;80%;1850000;1284,72222222222
39;3900000;5850000;9750000;11700000;22000000000000;78%;82%;1900000;1319,44444444444
40;4000000;6000000;10000000;12000000;22000000000000;80%;84%;1950000;1354,16666666667
41;4100000;6150000;10250000;12300000;226000000000000;82%;86%;2000000;1388,88888888889
42;4200000;6300000;10500000;12600000;2310000000000000;84%;88%;2050000;1423,61111111111
43;4300000;6450000;10750000;12900000;2,365E+016;86%;92%;2100000;1458,33333333333
44;4400000;6600000;11000000;13200000;2,42E+017;88%;95%;2150000;1493,05555555556
45;4500000;6750000;11250000;13500000;2,48E+019;99%;99%;2200000;1527,77777777778
;;;;;;;;;33476,3541666667
;;;;;;;;;91,7160388127854
