id;x;y;tipo;clase;hp;pa;ca;destreza;velocidad;experiencia;deteccion
Cueva-001;872;743;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-002;627;9;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-003;247;26;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-004;774;836;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-005;87;135;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-006;886;232;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-007;625;475;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-008;868;193;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-009;16;996;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-010;248;726;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-011;217;519;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-012;433;799;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-013;451;597;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-014;217;101;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-015;225;352;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-016;961;537;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-017;653;811;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-018;193;292;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-019;687;962;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-020;648;943;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-021;151;802;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-022;955;197;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-023;23;900;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-024;882;383;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-025;112;996;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-026;612;141;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-027;552;108;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-028;237;609;Cueva;Behemot;10000000000;50000;5000000;200;500;1500000;25
Cueva-029;199;744;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-030;705;58;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-031;889;544;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-032;607;956;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-033;103;120;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-034;945;277;Cueva;Chupacabras;1093000000000;1040003000;5400650000;450;600;1500000;25
Cueva-035;257;843;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-036;341;437;Cueva;Dragón;1093000000000;1040003000;5400650000;500;850;1500000;25
Cueva-037;831;957;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-038;432;933;Cueva;Simurgh;1093000000;1043000;54650000;350;350;1500000;25
Cueva-039;602;60;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
Cueva-040;829;767;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-041;47;475;Cueva;Patotas;10900040000;1044000;540700000;400;400;15000000000000;25
Cueva-042;278;655;Cueva;Leviatán;10940000;1044000;54700000;300;950;15000000000000;25
