id;x;y;nombre;tipo;hp;pa;ca;destreza;experiencia;deteccion
Dios-001;580;500;Dios 001;Dioses;3171400;1301000;264880;400;9500000;25
Dios-002;576;525;Dios 002;Dioses;3203114;1314010;267529;400;9595000;25
Dios-003;565;547;Dios 003;Dioses;3235145;1327150;270204;400;9690950;25
Dios-004;547;565;Dios 004;Dioses;3267497;1340422;272906;400;9787860;25
Dios-005;525;576;Dios 005;Dioses;3300172;1353826;275635;400;9885738;25
Dios-006;500;580;Dios 006;Dioses;3333173;1367364;278392;400;9984595;25
Dios-007;475;576;Dios 007;Dioses;3366505;1381038;281175;400;10084441;25
Dios-008;453;565;Dios 008;Dioses;3400170;1394848;283987;400;10185286;25
Dios-009;435;547;Dios 009;Dioses;3434172;1408797;286827;400;10287139;25
Dios-010;424;525;Dios 010;Dioses;3468513;1422885;289695;400;10390010;25
Dios-011;420;500;Dios 011;Dioses;3503199;1437113;292592;400;10493910;25
Dios-012;424;475;Dios 012;Dioses;3538231;1451485;295518;400;10598849;25
Dios-013;435;453;Dios 013;Dioses;3573613;1465999;298473;400;10704838;25
Dios-014;453;435;Dios 014;Dioses;3609349;1480659;301458;400;10811886;25
Dios-015;475;424;Dios 015;Dioses;3645443;1495466;304473;400;10920005;25
Dios-016;500;420;Dios 016;Dioses;3681897;1510421;307517;400;11029205;25
Dios-017;525;424;Dios 017;Dioses;3718716;1525525;310593;400;11139497;25
Dios-018;547;435;Dios 018;Dioses;3755903;1540780;313699;400;11250892;25
Dios-019;565;453;Dios 019;Dioses;3793462;1556188;316836;400;11363401;25
Dios-020;576;475;Dios 020;Dioses;3831397;1571750;320004;400;11477035;25
Dios-021;601;516;Dios 021;Dioses;3869711;1587467;323204;400;11591805;25
Dios-022;591;546;Dios 022;Dioses;3908408;1603342;326436;400;11707723;25
Dios-023;572;572;Dios 023;Dioses;3947492;1619375;329700;400;11824801;25
Dios-024;546;591;Dios 024;Dioses;3986967;1635569;332997;400;11943049;25
Dios-025;516;601;Dios 025;Dioses;4026836;1651925;336327;400;12062479;25
Dios-026;484;601;Dios 026;Dioses;8564800;3037100;2581535;400;12183104;25
Dios-027;454;591;Dios 027;Dioses;8650448;6377910;2607350;400;12304935;25
Dios-028;428;572;Dios 028;Dioses;8736952;6441689;2633424;400;12427984;25
Dios-029;409;546;Dios 029;Dioses;8824322;6506106;2659758;400;12552264;25
Dios-030;399;516;Dios 030;Dioses;8912565;6571167;2686356;400;12677787;25
Dios-031;399;484;Dios 031;Dioses;9001691;6636879;2713219;400;12804565;25
Dios-032;409;454;Dios 032;Dioses;9091708;6703248;2740351;400;12932610;25
Dios-033;428;428;Dios 033;Dioses;9182625;6770280;2767755;400;13061936;25
Dios-034;454;409;Dios 034;Dioses;9274451;6837983;2795432;400;13192556;25
Dios-035;484;399;Dios 035;Dioses;9367196;6906363;2823387;400;13324481;25
Dios-036;516;399;Dios 036;Dioses;9460868;6975426;2851621;400;13457726;25
