Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;ARMA PARA PA;ARMADURA PARA CA;ESCUDO PARA HP;"Tiempos para pasar de Nivel
(minutos)";Tiempo para lograr el bonus por tipo de tropa
1;100000;150000;250000;300000;550000;1;1;1;0;0
2;200000;300000;500000;600000;1100000;2;2;2;0;0
3;300000;450000;750000;900000;1650000;3;3;3;200;200
4;400000;600000;1000000;1200000;2200000;4;4;4;300;300
5;500000;750000;1250000;1500000;2750000;5;5;5;400;400
6;600000;900000;1500000;1800000;3300000;6;6;6;500;500
7;700000;1050000;1750000;2100000;3850000;7;7;7;600;600
8;800000;1200000;2000000;2400000;4400000;8;8;8;1500;1500
9;900000;1350000;2250000;2700000;4950000;9;9;9;3000;3000
10;1000000;1500000;2500000;3000000;5500000;10;10;10;4500;4500
11;1100000;1650000;2750000;3300000;6050000;11;11;11;6000;6000
12;1200000;1800000;3000000;3600000;6600000;12;12;12;9000;9000
13;1300000;1950000;3250000;3900000;7150000;13;13;13;12000;12000
14;1400000;2100000;3500000;4200000;7700000;14;14;14;15000;15000
15;1500000;2250000;3750000;4500000;8250000;15;15;15;21000;21000
16;1600000;2400000;4000000;4800000;8800000;16;16;16;24000;24000
17;1700000;2550000;4250000;5100000;9350000;17;17;17;36000;36000
18;1800000;2700000;4500000;5400000;9900000;18;18;18;72000;72000
19;1900000;2850000;4750000;5700000;10450000;19;19;19;80000;80000
20;2000000;3000000;5000000;6000000;11000000;20;20;20;84000;84000
21;2100000;3150000;5250000;6300000;11550000;21;21;21;90000;90000
22;2200000;3300000;5500000;6600000;12100000;22;22;22;100000;100000
23;2300000;3450000;5750000;6900000;12650000;23;23;23;110000;110000
24;2400000;3600000;6000000;7200000;13200000;24;24;24;120000;120000
25;2500000;3750000;6250000;7500000;13750000;25;25;25;150000;150000
26;2600000;3900000;6500000;7800000;14300000;26;26;26;170000;170000
27;2700000;4050000;6750000;8100000;14850000;27;27;27;200000;200000
28;2800000;4200000;7000000;8400000;15400000;28;28;28;250000;250000
29;2900000;4350000;7250000;8700000;15950000;29;29;29;300000;300000
30;3000000;4500000;7500000;9000000;16500000;30;30;30;350000;350000
31;3100000;4650000;7750000;9300000;17050000;31;31;31;400000;400000
32;3200000;4800000;8000000;9600000;2,2E+019;32;32;32;450000;450000
33;3300000;4950000;8250000;9900000;2,2E+019;33;33;33;460000;460000
34;3400000;5100000;8500000;10200000;2,2E+019;34;34;34;470000;470000
35;3500000;5250000;8750000;10500000;2,2E+019;35;35;35;480000;480000
36;3600000;5400000;9000000;10800000;2,2E+019;36;36;36;490000;490000
37;3700000;5550000;9250000;11100000;2,2E+019;37;37;37;500000;500000
38;3800000;5700000;9500000;11400000;2,2E+019;38;38;38;510000;510000
39;3900000;5850000;9750000;11700000;2,2E+019;39;39;39;520000;520000
40;4000000;6000000;10000000;12000000;2,2E+019;1400;1400;4,500,000;580000;580000
