Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;%reducción tiempo unidades básicas;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;1%;0
2;200000;300000;500000;600000;1100000;2%;0
3;300000;450000;750000;900000;1650000;3%;5
4;400000;600000;1000000;1200000;2200000;4%;15
5;500000;750000;1250000;1500000;2750000;5%;30
6;600000;900000;1500000;1800000;3300000;6%;479
7;700000;1050000;1750000;2100000;3850000;7%;574
8;800000;1200000;2000000;2400000;4400000;8%;687
9;900000;1350000;2250000;2700000;4950000;9%;822
10;1000000;1500000;2500000;3000000;5500000;10%;984
11;1100000;1650000;2750000;3300000;6050000;11%;1178
12;1200000;1800000;3000000;3600000;6600000;12%;1411
13;1300000;1950000;3250000;3900000;7150000;13%;1689
14;1400000;2100000;3500000;4200000;7700000;14%;2022
15;1500000;2250000;3750000;4500000;8250000;15%;2421
16;1600000;2400000;4000000;4800000;8800000;16%;2898
17;1700000;2550000;4250000;5100000;1,95E+020;17%;3470
18;1800000;2700000;4500000;5400000;1,95E+020;18%;4154
19;1900000;2850000;4750000;5700000;1,95E+020;19%;4973
20;2000000;3000000;5000000;6000000;1,95E+020;20%;5954
21;2100000;3150000;5250000;6300000;1,95E+020;21%;7128
22;2200000;3300000;5500000;6600000;1,95E+020;22%;8534
23;2300000;3450000;5750000;6900000;1,95E+020;23%;10217
24;2400000;3600000;6000000;7200000;1,95E+020;24%;12232
25;2500000;3750000;6250000;7500000;1,95E+020;25%;14644
26;2600000;3900000;6500000;7800000;1,95E+020;26%;17532
27;2700000;4050000;6750000;8100000;1,95E+020;27%;20990
28;2800000;4200000;7000000;8400000;1,95E+020;28%;25130
29;2900000;4350000;7250000;8700000;1,95E+020;29%;30086
30;3000000;4500000;7500000;9000000;1,95E+020;30%;36019
31;3100000;4650000;7750000;9300000;1,95E+020;31%;43123
32;3200000;4800000;8000000;9600000;1,95E+020;32%;51627
33;3300000;4950000;8250000;9900000;1,95E+020;33%;61809
34;3400000;5100000;8500000;10200000;1,95E+020;34%;73999
35;3500000;5250000;8750000;10500000;1,95E+020;35%;88592
36;3600000;5400000;9000000;10800000;1,95E+020;36%;106064
37;3700000;5550000;9250000;11100000;1,95E+020;37%;126982
38;3800000;5700000;9500000;11400000;1,95E+020;38%;152025
39;3900000;5850000;9750000;11700000;1,95E+020;39%;182007
40;4000000;6000000;10000000;12000000;1,95E+020;40%;217902
41;4100000;6150000;10250000;12300000;1,95E+020;41%;260876
42;4200000;6300000;10500000;12600000;1,95E+020;42%;312325
43;4300000;6450000;10750000;12900000;1,95E+020;43%;373921
44;4400000;6600000;11000000;13200000;1,95E+020;44%;447665
45;4500000;6750000;11250000;13500000;1,95E+020;45%;535952
46;4600000;6900000;11500000;13800000;1,95E+020;46%;641652
47;4700000;7050000;11750000;14100000;1,95E+020;47%;768196
48;4800000;7200000;12000000;14400000;1,95E+020;48%;919698
49;4900000;7350000;12250000;14700000;1,95E+020;49%;1101078
50;5000000000;12500000000;31250000000;78125000000;1,95E+020;70%;1318230
