Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;Aldeanos por hora;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;1200;0
2;200000;300000;500000;600000;1100000;1250;0
3;300000;450000;750000;900000;1650000;1277;5
4;400000;600000;1000000;1200000;2200000;1305;15
5;500000;750000;1250000;1500000;2750000;1334;30
6;600000;900000;1500000;1800000;3300000;1364;810
7;700000;1050000;1750000;2100000;3850000;1396;970
8;800000;1200000;2000000;2400000;4400000;1429;1162
9;900000;1350000;2250000;2700000;4950000;1464;1391
10;1000000;1500000;2500000;3000000;5500000;1500;1665
11;1100000;1650000;2750000;3300000;6050000;1539;1993
12;1200000;1800000;3000000;3600000;6600000;1579;2386
13;1300000;1950000;3250000;3900000;7150000;1622;2857
14;1400000;2100000;3500000;4200000;7700000;1667;3421
15;1500000;2250000;3750000;4500000;8250000;1715;4095
16;1600000;2400000;4000000;4800000;8800000;1765;4903
17;1700000;2550000;4250000;5100000;9350000;1819;5870
18;1800000;2700000;4500000;5400000;9900000;1875;7027
19;1900000;2850000;4750000;5700000;10450000;1936;8413
20;2000000;3000000;5000000;6000000;11000000;2000;10072
21;2100000;3150000;5250000;6300000;11550000;2069;12059
22;2200000;3300000;5500000;6600000;12100000;2143;14437
23;2300000;3450000;5750000;6900000;12650000;2223;17284
24;2400000;3600000;6000000;7200000;13200000;2308;20693
25;2500000;3750000;6250000;7500000;13750000;2400;24774
26;2600000;3900000;6500000;7800000;14300000;2500;29660
27;2700000;4050000;6750000;8100000;14850000;2609;35509
28;2800000;4200000;7000000;8400000;15400000;2728;42512
29;2900000;4350000;7250000;8700000;15950000;2858;50896
30;3000000;4500000;7500000;9000000;16500000;3000;60934
31;3100000;4650000;7750000;9300000;17050000;3158;72951
32;3200000;4800000;8000000;9600000;17600000;3334;87339
33;3300000;4950000;8250000;9900000;18150000;3530;104563
34;3400000;5100000;8500000;10200000;18700000;3750;125185
35;3500000;5250000;8750000;10500000;19250000;4000;149874
36;3600000;5400000;9000000;10800000;19800000;4286;179431
37;3700000;5550000;9250000;11100000;20350000;4616;214818
38;3800000;5700000;9500000;11400000;20900000;5000;257184
39;3900000;5850000;9750000;11700000;21450000;5455;307905
40;4000000;6000000;10000000;12000000;22000000;6000;368630
41;4100000;6150000;10250000;12300000;22550000;6667;441330
42;4200000;6300000;10500000;12600000;23100000;7500;528368
43;4300000;6450000;10750000;12900000;23650000;8572;632571
44;4400000;6600000;11000000;13200000;24200000;10000;757325
45;45000000;67500000;112500000;135000000;247500000;250000;906683
