Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;capacidad;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;422400;0
2;200000;300000;500000;600000;1100000;5068800;0
3;300000;450000;750000;900000;1650000;60825600;5
4;400000;600000;1000000;1200000;2200000;72990700;15
5;500000;750000;1250000;1500000;2750000;87588900;30
6;600000;900000;1500000;1800000;3300000;105106600;240
7;700000;1050000;1750000;2100000;3850000;126128000;287
8;800000;1200000;2000000;2400000;4400000;151353600;343
9;900000;1350000;2250000;2700000;4950000;181624300;411
10;1000000;1500000;2500000;3000000;5500000;217949100;492
11;1100000;1650000;2750000;3300000;6050000;261538900;589
12;1200000;1800000;3000000;3600000;6600000;313846700;705
13;1300000;1950000;3250000;3900000;7150000;376616100;844
14;1400000;2100000;3500000;4200000;7700000;451939300;1011
15;1500000;2250000;3750000;4500000;8250000;542327200;1210
16;1600000;2400000;4000000;4800000;8800000;650792600;1449
17;1700000;2550000;4250000;5100000;9350000;780951100;1735
18;1800000;2700000;4500000;5400000;9900000;937141300;2077
19;1900000;2850000;4750000;5700000;10450000;1124569600;2487
20;2000000;3000000;5000000;6000000;11000000;1349483500;2977
21;2100000;3150000;5250000;6300000;11550000;1619380200;3564
22;2200000;3300000;5500000;6600000;12100000;1943256300;4267
23;2300000;3450000;5750000;6900000;12650000;2331907500;5108
24;2400000;3600000;6000000;7200000;13200000;2798289000;6116
25;2500000;3750000;6250000;7500000;13750000;3357946800;7322
26;2600000;3900000;6500000;7800000;14300000;4029536200;8766
27;2700000;4050000;6750000;8100000;14850000;4835443400;10495
28;2800000;4200000;7000000;8400000;15400000;5802532100;12565
29;2900000;4350000;7250000;8700000;15950000;6963038500;15043
30;3000000;4500000;7500000;9000000;16500000;8355646200;18009
31;3100000;4650000;7750000;9300000;17050000;10026775500;21561
32;3200000;4800000;8000000;9600000;17600000;12032130600;25813
33;3300000;4950000;8250000;9900000;18150000;14438556700;30904
34;3400000;5100000;8500000;10200000;18700000;17326268100;36999
35;3500000;5250000;8750000;10500000;19250000;20791521700;44296
36;3600000;5400000;9000000;10800000;19800000;24949826000;53032
37;3700000;5550000;9250000;11100000;20350000;29939791200;63491
38;3800000;5700000;9500000;11400000;20900000;35927749400;76012
39;3900000;5850000;9750000;11700000;21450000;43113299300;91003
40;4000000;6000000;10000000;12000000;22000000;51735959200;108950
41;4100000;6150000;10250000;12300000;22550000;62083151000;130437
42;4200000;6300000;10500000;12600000;23100000;74499781200;156162
43;4300000;6450000;10750000;12900000;23650000;89399737500;186959
44;4400000;6600000;11000000;13200000;24200000;107279685000;223831
45;4500000;6750000;11250000;13500000;24750000;128735622000;267975
46;4600000;6900000;11500000;13800000;25300000;154482746400;320824
47;4700000;7050000;11750000;14100000;25850000;185379295600;384096
48;4800000;7200000;12000000;14400000;26400000;222455154800;459846
49;4900000;7350000;12250000;14700000;26950000;266946185700;550536
50;5000000000;12500000000;31250000000;78125000000;195312500000;448469592032100;659111
