Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;deteccion;sigiloexploradormismonivel;"Tiempos para pasar de Nivel
(minutos)";radiocasillasvigilancia
1;100000;150000;250000;300000;550000;6;8;0;2
2;200000;300000;500000;600000;1100000;8;10;0;2
3;300000;450000;750000;900000;1650000;9;11;5;2
4;400000;600000;1000000;1200000;2200000;10;12;15;4
5;500000;750000;1250000;1500000;2750000;11;13;30;6
6;600000;900000;1500000;1800000;3300000;12;14;479;8
7;700000;1050000;1750000;2100000;3850000;13;15;574;11
8;800000;1200000;2000000;2400000;4400000;14;16;687;15
9;900000;1350000;2250000;2700000;4950000;15;17;822;20
10;1000000;1500000;2500000;3000000;5500000;16;18;984;25
11;1100000;1650000;2750000;3300000;6050000;17;19;1178;32
12;1200000;1800000;3000000;3600000;6600000;18;20;1411;39
13;1300000;1950000;3250000;3900000;7150000;19;21;1689;47
14;1400000;2100000;3500000;4200000;7700000;20;22;2022;55
15;1500000;2250000;3750000;4500000;8250000;21;23;2421;65
16;1600000;2400000;4000000;4800000;8800000;22;24;2898;75
17;1700000;2550000;4250000;5100000;9350000;23;25;3470;86
18;1800000;2700000;4500000;5400000;9900000;24;26;4154;99
19;1900000;2850000;4750000;5700000;10450000;25;27;4973;112
20;2000000;3000000;5000000;6000000;11000000;26;28;5954;126
21;2100000;3150000;5250000;6300000;11550000;27;29;7128;140
22;2200000;3300000;5500000;6600000;12100000;28;30;8534;156
23;2300000;3450000;5750000;6900000;12650000;29;31;10217;173
24;2400000;3600000;6000000;7200000;13200000;30;32;12232;190
25;2500000;3750000;6250000;7500000;13750000;31;33;14644;209
26;2600000;3900000;6500000;7800000;14300000;32;34;17532;228
27;2700000;4050000;6750000;8100000;14850000;33;35;20990;249
28;2800000;4200000;7000000;8400000;15400000;34;36;25130;270
29;2900000;4350000;7250000;8700000;15950000;35;37;30086;293
30;3000000;4500000;7500000;9000000;16500000;36;38;36019;316
31;3100000;4650000;7750000;9300000;17050000;37;39;43123;340
32;3200000;4800000;8000000;9600000;17600000;38;40;51627;366
33;3300000;4950000;8250000;9900000;18150000;39;41;61809;392
34;3400000;5100000;8500000;10200000;18700000;40;42;73999;419
35;3500000;5250000;8750000;10500000;19250000;41;43;88592;448
36;3600000;5400000;9000000;10800000;19800000;42;44;106064;477
37;3700000;5550000;9250000;11100000;20350000;43;45;126982;507
38;3800000;5700000;9500000;11400000;20900000;44;46;152025;539
39;3900000;5850000;9750000;11700000;21450000;45;47;182007;571
40;4000000;6000000;10000000;12000000;22000000;46;48;217902;605
41;4100000;6150000;10250000;12300000;22550000;47;49;260876;639
42;4200000;6300000;10500000;12600000;23100000;48;50;312325;675
43;4300000;6450000;10750000;12900000;23650000;49;51;373921;712
44;4400000;6600000;11000000;13200000;24200000;50;52;447665;749
45;4500000;6750000;11250000;13500000;24750000;51;53;535952;788
46;4600000;6900000;11500000;13800000;25300000;52;54;641652;828
47;4700000;7050000;11750000;14100000;25850000;53;55;768196;869
48;4800000;7200000;12000000;14400000;26400000;54;56;919698;911
49;4900000;7350000;12250000;14700000;26950000;55;57;1101078;954
50;5000000000;12500000000;31250000000;78125000000;195312500000;101;58;1318230;2000
