Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;capacidadejercito;capacidadporcadamaterial;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;100000;600000;0
2;200000;300000;500000;600000;1100000;200000;1200000;0
3;300000;450000;750000;900000;1650000;300000;1800000;5
4;400000;600000;1000000;1200000;2200000;400000;2400000;15
5;500000;750000;1250000;1500000;2750000;500000;3000000;30
6;600000;900000;1500000;1800000;3300000;600000;3600000;1270
7;700000;1050000;1750000;2100000;3850000;700000;4200000;1520
8;800000;1200000;2000000;2400000;4400000;800000;4800000;1820
9;900000;1350000;2250000;2700000;4950000;900000;5400000;2179
10;1000000;1500000;2500000;3000000;5500000;1000000;6000000;2609
11;1100000;1650000;2750000;3300000;6050000;1100000;6600000;3123
12;1200000;1800000;3000000;3600000;6600000;1200000;7200000;3739
13;1300000;1950000;3250000;3900000;7150000;1300000;7800000;4477
14;1400000;2100000;3500000;4200000;7700000;1400000;8400000;5360
15;1500000;2250000;3750000;4500000;8250000;1500000;9000000;6417
16;1600000;2400000;4000000;4800000;8800000;1600000;9600000;7682
17;1700000;2550000;4250000;5100000;9350000;1700000;10200000;9197
18;1800000;2700000;4500000;5400000;9900000;1800000;10800000;11011
19;1900000;2850000;4750000;5700000;10450000;1900000;11400000;13183
20;2000000;3000000;5000000;6000000;11000000;2000000;12000000;15782
21;2100000;3150000;5250000;6300000;11550000;2100000;12600000;18895
22;2200000;3300000;5500000;6600000;12100000;2200000;13200000;22621
23;2300000;3450000;5750000;6900000;12650000;2300000;13800000;27083
24;2400000;3600000;6000000;7200000;13200000;2400000;14400000;32424
25;2500000;3750000;6250000;7500000;13750000;2500000;15000000;38818
26;2600000;3900000;6500000;7800000;14300000;2600000;15600000;46474
27;2700000;4050000;6750000;8100000;14850000;2700000;16200000;55639
28;2800000;4200000;7000000;8400000;15400000;2800000;16800000;66613
29;2900000;4350000;7250000;8700000;15950000;2900000;17400000;79750
30;3000000;4500000;7500000;9000000;16500000;3000000;18000000;95478
31;3100000;4650000;7750000;9300000;17050000;3100000;18600000;114308
32;3200000;4800000;8000000;9600000;17600000;3200000;19200000;136851
33;3300000;4950000;8250000;9900000;18150000;3300000;19800000;163840
34;3400000;5100000;8500000;10200000;18700000;3400000;20400000;196153
35;3500000;5250000;8750000;10500000;19250000;3500000;21000000;234837
36;3600000;5400000;9000000;10800000;19800000;3600000;21600000;281151
37;3700000;5550000;9250000;11100000;20350000;3700000;22200000;336599
38;3800000;5700000;9500000;11400000;20900000;3800000;22800000;402983
39;3900000;5850000;9750000;11700000;21450000;3900000;23400000;482458
40;4000000;6000000;10000000;12000000;22000000;40000000;240000000;577607
