Nivel;costomadera;costopiedra;costohierro;costooro;costocarbon;% REDUCCIÓN EN COLAS DE TEMPLO, CUARTEL, HERRERÍA y CENTRO DE CIUDAD ;% REDUCCIÓN EN TIEMPOS DE EDIFICIOS;"Tiempos para pasar de Nivel
(minutos)"
1;100000;150000;250000;300000;550000;2%;6%;0
2;200000;300000;500000;600000;1100000;4%;8%;0
3;300000;450000;750000;900000;1650000;6%;10%;5
4;400000;600000;1000000;1200000;2200000;8%;12%;15
5;500000;750000;1250000;1500000;2750000;10%;14%;30
6;600000;900000;1500000;1800000;3300000;12%;16%;810
7;700000;1050000;1750000;2100000;3850000;14%;18%;970
8;800000;1200000;2000000;2400000;4400000;16%;20%;1162
9;900000;1350000;2250000;2700000;4950000;18%;22%;1391
10;1000000;1500000;2500000;3000000;5500000;20%;24%;1665
11;1100000;1650000;2750000;3300000;22000000000000;22%;26%;1993
12;1200000;1800000;3000000;3600000;22000000000000;24%;28%;2386
13;1300000;1950000;3250000;3900000;22000000000000;26%;30%;2857
14;1400000;2100000;3500000;4200000;22000000000000;28%;32%;3421
15;1500000;2250000;3750000;4500000;22000000000000;30%;34%;4095
16;1600000;2400000;4000000;4800000;22000000000000;32%;36%;4903
17;1700000;2550000;4250000;5100000;22000000000000;34%;38%;5870
18;1800000;2700000;4500000;5400000;22000000000000;36%;40%;7027
19;1900000;2850000;4750000;5700000;22000000000000;38%;42%;8413
20;2000000;3000000;5000000;6000000;22000000000000;40%;44%;10072
21;2100000;3150000;5250000;6300000;22000000000000;42%;46%;12059
22;2200000;3300000;5500000;6600000;22000000000000;44%;48%;14437
23;2300000;3450000;5750000;6900000;22000000000000;46%;50%;17284
24;2400000;3600000;6000000;7200000;22000000000000;48%;52%;20693
25;2500000;3750000;6250000;7500000;22000000000000;50%;54%;24774
26;2600000;3900000;6500000;7800000;22000000000000;52%;56%;29660
27;2700000;4050000;6750000;8100000;22000000000000;54%;58%;35509
28;2800000;4200000;7000000;8400000;22000000000000;56%;60%;42512
29;2900000;4350000;7250000;8700000;22000000000000;58%;62%;50896
30;3000000;4500000;7500000;9000000;22000000000000;60%;64%;60934
31;3100000;4650000;7750000;9300000;22000000000000;62%;66%;72951
32;3200000;4800000;8000000;9600000;22000000000000;64%;68%;87339
33;3300000;4950000;8250000;9900000;22000000000000;66%;70%;104563
34;3400000;5100000;8500000;10200000;22000000000000;68%;72%;125185
35;3500000;5250000;8750000;10500000;22000000000000;70%;74%;149874
36;3600000;5400000;9000000;10800000;22000000000000;72%;76%;179431
37;3700000;5550000;9250000;11100000;22000000000000;74%;78%;214818
38;3800000;5700000;9500000;11400000;22000000000000;76%;80%;257184
39;3900000;5850000;9750000;11700000;22000000000000;78%;82%;307905
40;4000000;6000000;10000000;12000000;22000000000000;80%;84%;368630
41;4100000;6150000;10250000;12300000;226000000000000;82%;86%;441330
42;4200000;6300000;10500000;12600000;2310000000000000;84%;88%;528368
43;4300000;6450000;10750000;12900000;2,365E+016;86%;92%;632571
44;4400000;6600000;11000000;13200000;2,42E+017;88%;95%;757325
45;4500000;6750000;11250000;13500000;2,48E+019;99%;99%;906683
