tipo;nivel;exp
Aldeano;1;10
Aldeano;2;20
Aldeano;3;30
Aldeano;4;40
Aldeano;5;50
Aldeano;6;60
Aldeano;7;70
Aldeano;8;80
Aldeano;9;90
Aldeano;10;100
Aldeano;11;110
Aldeano;12;120
Aldeano;13;130
Aldeano;14;140
Aldeano;15;150
Aldeano;16;160
Aldeano;17;170
Aldeano;18;180
Aldeano;19;190
Aldeano;20;200
Aldeano;21;210
Aldeano;22;220
Aldeano;23;230
Aldeano;24;240
Aldeano;25;250
Aldeano;26;260
Aldeano;27;270
Aldeano;28;280
Aldeano;29;290
Aldeano;30;300
Aldeano;31;310
Aldeano;32;320
Aldeano;33;330
Aldeano;34;340
Aldeano;35;350
Aldeano;36;360
Aldeano;37;370
Aldeano;38;380
Aldeano;39;3900
Aldeano;40;40000
Explorador;1;13
Explorador;2;27
Explorador;3;40
Explorador;4;54
Explorador;5;67
Explorador;6;81
Explorador;7;94
Explorador;8;108
Explorador;9;121
Explorador;10;135
Explorador;11;148
Explorador;12;162
Explorador;13;175
Explorador;14;189
Explorador;15;202
Explorador;16;216
Explorador;17;229
Explorador;18;242
Explorador;19;256
Explorador;20;269
Explorador;21;283
Explorador;22;296
Explorador;23;310
Explorador;24;323
Explorador;25;337
Explorador;26;350
Explorador;27;364
Explorador;28;377
Explorador;29;391
Explorador;30;404
Explorador;31;418
Explorador;32;431
Explorador;33;444
Explorador;34;458
Explorador;35;471
Explorador;36;485
Explorador;37;498
Explorador;38;512
Explorador;39;5250
Explorador;40;53900
Sacerdote;1;55
Sacerdote;2;65
Sacerdote;3;75
Sacerdote;4;85
Sacerdote;5;95
Sacerdote;6;105
Sacerdote;7;115
Sacerdote;8;125
Sacerdote;9;135
Sacerdote;10;145
Sacerdote;11;155
Sacerdote;12;165
Sacerdote;13;175
Sacerdote;14;185
Sacerdote;15;195
Sacerdote;16;205
Sacerdote;17;215
Sacerdote;18;225
Sacerdote;19;235
Sacerdote;20;245
Sacerdote;21;255
Sacerdote;22;265
Sacerdote;23;275
Sacerdote;24;285
Sacerdote;25;295
Sacerdote;26;305
Sacerdote;27;315
Sacerdote;28;325
Sacerdote;29;335
Sacerdote;30;345
Sacerdote;31;355
Sacerdote;32;365
Sacerdote;33;375
Sacerdote;34;385
Sacerdote;35;395
Sacerdote;36;405
Sacerdote;37;415
Sacerdote;38;425
Sacerdote;39;435
Sacerdote;40;44500
Guerrero;1;31
Guerrero;2;62
Guerrero;3;94
Guerrero;4;125
Guerrero;5;156
Guerrero;6;187
Guerrero;7;219
Guerrero;8;250
Guerrero;9;281
Guerrero;10;312
Guerrero;11;343
Guerrero;12;375
Guerrero;13;406
Guerrero;14;437
Guerrero;15;468
Guerrero;16;500
Guerrero;17;531
Guerrero;18;562
Guerrero;19;593
Guerrero;20;624
Guerrero;21;656
Guerrero;22;687
Guerrero;23;718
Guerrero;24;749
Guerrero;25;781
Guerrero;26;812
Guerrero;27;843
Guerrero;28;874
Guerrero;29;906
Guerrero;30;937
Guerrero;31;968
Guerrero;32;999
Guerrero;33;1030
Guerrero;34;1062
Guerrero;35;1093
Guerrero;36;1124
Guerrero;37;1155
Guerrero;38;1187
Guerrero;39;12180
Guerrero;40;124900
Comando;1;94
Comando;2;188
Comando;3;282
Comando;4;376
Comando;5;470
Comando;6;564
Comando;7;658
Comando;8;752
Comando;9;846
Comando;10;940
Comando;11;1034
Comando;12;1128
Comando;13;1222
Comando;14;1316
Comando;15;1410
Comando;16;1504
Comando;17;1598
Comando;18;1692
Comando;19;1786
Comando;20;1880
Comando;21;1974
Comando;22;2068
Comando;23;2162
Comando;24;2256
Comando;25;2349
Comando;26;2443
Comando;27;2537
Comando;28;2631
Comando;29;2725
Comando;30;2819
Comando;31;2913
Comando;32;3007
Comando;33;3101
Comando;34;3195
Comando;35;3289
Comando;36;3383
Comando;37;3477
Comando;38;3571
Comando;39;36650
Comando;40;375900
Mercenario;1;123
Mercenario;2;246
Mercenario;3;369
Mercenario;4;491
Mercenario;5;614
Mercenario;6;737
Mercenario;7;860
Mercenario;8;983
Mercenario;9;1106
Mercenario;10;1229
Mercenario;11;1351
Mercenario;12;1474
Mercenario;13;1597
Mercenario;14;1720
Mercenario;15;1843
Mercenario;16;1966
Mercenario;17;2089
Mercenario;18;2211
Mercenario;19;2334
Mercenario;20;2457
Mercenario;21;2580
Mercenario;22;2703
Mercenario;23;2826
Mercenario;24;2949
Mercenario;25;3071
Mercenario;26;3194
Mercenario;27;3317
Mercenario;28;3440
Mercenario;29;3563
Mercenario;30;3686
Mercenario;31;3809
Mercenario;32;3931
Mercenario;33;4054
Mercenario;34;4177
Mercenario;35;4300
Mercenario;36;4423
Mercenario;37;4546
Mercenario;38;4669
Mercenario;39;47910
Mercenario;40;491400
Marine;1;354
Marine;2;708
Marine;3;1062
Marine;4;1416
Marine;5;1770
Marine;6;2124
Marine;7;2479
Marine;8;2833
Marine;9;3187
Marine;10;3541
Marine;11;3895
Marine;12;4249
Marine;13;4603
Marine;14;4957
Marine;15;5311
Marine;16;5665
Marine;17;6019
