nivel	experiencia_requerida
2	3300000
3	5841000
4	9189840
5	13555014
6	19193900
7	26423602
8	35634115
9	47304287
10	77526471
11	125786699
12	202402234
13	323421904
14	513743255
15	811897822
16	1277385906
17	2001903225
18	3126501802
19	4867789611
20	10127564385
21	21017987557
22	43520245378
23	89927663398
24	1.8547E+11
25	3.81856E+11
26	7.84927E+11
27	1.61108E+12
28	3.30223E+12
29	6.75996E+12
30	1.86594E+13
31	5.14481E+13
32	1.41706E+14
33	3.89926E+14
34	1.07196E+15
35	2.94441E+15
36	8.08096E+15
37	2.21612E+16
38	6.07303E+16
39	1.66309E+17
40	4.55138E+17
