id;x;y;nombre;tipo
Inactivo-001;590;870;ciudadinac1-1;Inactivos
Inactivo-001;71;988;ciudadinac1-2;Inactivos
Inactivo-001;211;907;ciudadinac1-3;Inactivos
Inactivo-001;799;404;ciudadinac1-4;Inactivos
Inactivo-001;266;145;ciudadinac1-5;Inactivos
Inactivo-001;539;725;ciudadinac1-6;Inactivos
Inactivo-001;182;694;ciudadinac1-7;Inactivos
Inactivo-001;847;262;ciudadinac1-8;Inactivos
Inactivo-001;282;649;ciudadinac1-9;Inactivos
Inactivo-001;129;48;ciudadinac1-10;Inactivos
Inactivo-001;830;615;ciudadinac1-11;Inactivos
Inactivo-001;56;690;ciudadinac1-12;Inactivos
Inactivo-002;709;525;ciudadinac2-1;Inactivos
Inactivo-002;175;899;ciudadinac2-2;Inactivos
Inactivo-002;545;623;ciudadinac2-3;Inactivos
Inactivo-002;773;905;ciudadinac2-4;Inactivos
Inactivo-002;471;20;ciudadinac2-5;Inactivos
Inactivo-002;532;72;ciudadinac2-6;Inactivos
Inactivo-002;14;485;ciudadinac2-7;Inactivos
Inactivo-002;161;644;ciudadinac2-8;Inactivos
Inactivo-002;629;860;ciudadinac2-9;Inactivos
Inactivo-002;348;29;ciudadinac2-10;Inactivos
Inactivo-002;72;425;ciudadinac2-11;Inactivos
Inactivo-002;109;883;ciudadinac2-12;Inactivos
Inactivo-003;960;834;ciudadinac3-1;Inactivos
Inactivo-003;779;890;ciudadinac3-2;Inactivos
Inactivo-003;670;820;ciudadinac3-3;Inactivos
Inactivo-003;328;689;ciudadinac3-4;Inactivos
Inactivo-003;443;496;ciudadinac3-5;Inactivos
Inactivo-003;277;170;ciudadinac3-6;Inactivos
Inactivo-003;529;260;ciudadinac3-7;Inactivos
Inactivo-003;186;836;ciudadinac3-8;Inactivos
Inactivo-003;878;965;ciudadinac3-9;Inactivos
Inactivo-003;202;160;ciudadinac3-10;Inactivos
Inactivo-003;880;912;ciudadinac3-11;Inactivos
