id;x;y;nombre;tipo
ia-001;543;230;IA001.01;IA
ia-001;586;461;IA001.02;IA
ia-001;302;425;IA001.03;IA
ia-001;54;987;IA001.04;IA
ia-001;769;685;IA001.05;IA
ia-001;973;416;IA001.06;IA
ia-001;642;249;IA001.07;IA
ia-001;458;914;IA001.08;IA
ia-001;382;908;IA001.09;IA
ia-001;37;899;IA001.10;IA
ia-001;826;994;IA001.11;IA
ia-001;793;287;IA001.12;IA
ia-002;104;948;IA002.01;IA
ia-002;835;898;IA002.02;IA
ia-002;625;936;IA002.03;IA
ia-002;596;537;IA002.04;IA
ia-002;479;681;IA002.05;IA
ia-002;932;83;IA002.06;IA
ia-002;336;148;IA002.07;IA
ia-002;793;351;IA002.08;IA
ia-002;168;342;IA002.09;IA
ia-002;603;657;IA002.10;IA
ia-002;211;968;IA002.11;IA
ia-002;824;380;IA002.12;IA
ia-003;707;432;IA003.01;IA
ia-003;292;433;IA003.02;IA
ia-003;274;783;IA003.03;IA
ia-003;161;651;IA003.04;IA
ia-003;268;821;IA003.05;IA
ia-003;653;560;IA003.06;IA
ia-003;154;745;IA003.07;IA
ia-003;915;619;IA003.08;IA
ia-003;970;836;IA003.09;IA
ia-003;640;719;IA003.10;IA
ia-003;9;200;IA003.11;IA
ia-003;864;20;IA003.12;IA
ia-004;35;604;IA004.01;IA
ia-004;731;666;IA004.02;IA
ia-004;754;385;IA004.03;IA
ia-004;5;133;IA004.04;IA
ia-004;535;778;IA004.05;IA
ia-004;295;441;IA004.06;IA
ia-004;989;627;IA004.07;IA
ia-004;890;864;IA004.08;IA
ia-004;533;630;IA004.09;IA
ia-004;232;586;IA004.10;IA
ia-004;431;936;IA004.11;IA
ia-004;459;92;IA004.12;IA
ia-005;236;597;IA005.01;IA
ia-005;544;388;IA005.02;IA
ia-005;80;284;IA005.03;IA
ia-005;330;943;IA005.04;IA
ia-005;777;791;IA005.05;IA
ia-005;347;481;IA005.06;IA
ia-005;313;869;IA005.07;IA
ia-005;768;509;IA005.08;IA
ia-005;232;570;IA005.09;IA
ia-005;780;128;IA005.10;IA
ia-005;733;477;IA005.11;IA
ia-005;307;669;IA005.12;IA
ia-006;728;938;IA006.01;IA
ia-006;739;181;IA006.02;IA
ia-006;882;730;IA006.03;IA
ia-006;895;806;IA006.04;IA
ia-006;543;187;IA006.05;IA
ia-006;56;903;IA006.06;IA
ia-006;432;878;IA006.07;IA
ia-006;925;461;IA006.08;IA
ia-006;159;811;IA006.09;IA
ia-006;654;565;IA006.10;IA
ia-006;995;785;IA006.11;IA
ia-006;427;127;IA006.12;IA
